LOC_ID	Region	APORT_NAME	CITY	STATE	FAC_TYPE	ATCT_FLAG	HUB_SIZE	SYSYEAR	SCENARIO	AC	COMMUTER	T_ENPL	ITN_AC	ITN_AT	ATN_GA	_ITN_MIL	T_ITN	LOC_GA	LOC_MIL	T_LOC	T_AOPS	T_TROPS	TOT_BA
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2015	0	7593547	2790603	10384150	160395	101032	37199	492	299118	0	0	0	299118	0	54
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2016	0	7607728	2890763	10498491	169657	84984	36360	474	291475	0	0	0	291475	0	54
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2017	0	8152987	2794404	10947391	179803	75333	38399	325	293860	0	0	0	293860	0	74
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2018	0	8485393	2927076	11412469	180406	84171	36049	321	300947	0	0	0	300947	0	69
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2019	0	8812962	3055350	11868312	183087	91494	34190	376	309147	0	0	0	309147	0	70
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2020	0	4180869	1737503	5918372	119237	67080	22965	356	209638	0	0	0	209638	0	66
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2021	0	3883077	1985726	5868803	116168	76101	22565	556	215390	0	0	0	215390	0	59
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2022	0	7725986	2154621	9880607	164110	82942	31815	562	279429	0	0	0	279429	0	61
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2023	0	9655187	2095499	11750686	183803	67107	29797	491	281198	0	0	0	281198	0	63
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2013	0	10518648	474410	10993058	207107	35790	15864	1302	260063	138	0	138	260201	0	67
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2014	0	10550228	405588	10955816	198119	30107	15451	1198	244875	2589	0	2589	247464	0	70
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2015	0	11001591	387698	11389289	200416	25309	14886	1275	241886	3064	6	3070	244956	0	66
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2016	0	11803218	369026	12172244	205404	26310	14492	1270	247476	80	20	100	247576	0	66
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2017	0	12443133	317860	12760993	213884	29062	13422	1157	257525	0	0	0	257525	0	63
BWI 	AEA	BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL       	BALTIMORE	MD	7	1	L	2018	0	13019599	328478	13348077	222007	32296	12428	961	267692	0	0	0	267692	0	47
